"2024-11-21","2024-11-22","2024-11-25","2024-11-26","2024-11-28","2024-11-29","2024-12-02","2024-12-03","2024-12-04","2024-12-05","2024-12-06","2024-12-09","2024-12-10","2024-12-11","2024-12-12","2024-12-13","2024-12-16","2024-12-17","2024-12-18","2024-12-19","2024-12-20","2024-12-23","2024-12-24","2024-12-25","2024-12-26","2024-12-27","2024-12-30","2024-12-31","2025-01-02","2025-01-03","2025-01-06","2025-01-07","2025-01-08","2025-01-09","2025-01-12","2025-01-13","2025-01-14","2025-01-15","2025-01-16","2025-01-17","2025-01-20","2025-01-21","2025-01-22","2025-01-23","2025-01-27","2025-01-28","2025-01-29","2025-01-30","2025-01-31","2025-02-03","2025-02-04","2025-02-05","2025-02-06","2025-02-07","2025-02-10","2025-02-11","2025-02-12","2025-02-13","2025-02-14","2025-02-17","2025-02-18","2025-02-19","2025-02-20","2025-02-21","2025-02-24","2025-02-25","2025-02-27","2025-02-28"
"AAPL","AAPL","AAPL","AAPL","AAPL","AAPL","AAPL","AAPL","AAPL","AAPL","AAPL","AAPL","AAPL","AAPL","AAPL","AAPL","AAPL","AAPL","AAPL","AAPL","AAPL","AAPL","AAPL","AAPL","AAPL","AAPL","AAPL","AAPL","AAPL","AAPL","AAPL","AAPL","AAPL","AAPL","AAPL","AAPL","AAPL","AAPL","AAPL","AAPL","AAPL","AAPL","AAPL","AAPL","AAPL","AAPL","AAPL","AAPL","AAPL","AAPL","AAPL","AAPL","AAPL","AAPL","AAPL","AAPL","AAPL","AAPL","AAPL","AAPL","AAPL","AAPL","AAPL","AAPL","AAPL","AAPL","AAPL","AAPL"
"ABNB","ABNB","ABNB","ABNB","ABNB","ABNB","ABNB","ABNB","ABNB","ABNB","ABNB","ABNB","ABNB","ABNB","ABNB","ABNB","ABNB","ABNB","ABNB","ABNB","ABNB","ABNB","ABNB","ABNB","AMAT","AMAT","AMAT","AMAT","AMAT","AMAT","AMAT","AMAT","AMAT","AMAT","ABNB","AMAT","AMAT","AMAT","AMAT","AMAT","ABNB","AMAT","AMAT","AMAT","AMAT","AMAT","AMAT","AMAT","AMAT","AMAT","AMAT","AMAT","AMAT","AMAT","AMAT","AMAT","AMAT","AMAT","AMAT","ABNB","AMAT","AMAT","AMAT","AMAT","AMAT","AMAT","AMAT","AMAT"
"ADBE","ADBE","ADBE","ADBE","ADBE","ADBE","ADBE","ADBE","ADBE","ADBE","ADBE","ADBE","ADBE","ADBE","ADBE","ADBE","ADBE","ADBE","ADBE","ADBE","ADBE","ADBE","ADBE","ADBE","AMGN","AMGN","AMGN","AMGN","AMGN","AMGN","AMGN","AMGN","AMGN","AMGN","ADBE","AMGN","AMGN","AMGN","AMGN","AMGN","ADBE","AMGN","AMGN","AMGN","AMGN","AMGN","AMGN","AMGN","AMGN","AMGN","AMGN","AMGN","AMGN","AMGN","AMGN","AMGN","AMGN","AMGN","AMGN","ADBE","AMGN","AMGN","AMGN","AMGN","AMGN","AMGN","AMGN","AMGN"
"ADI","ADI","ADI","ADI","ADI","ADI","ADI","ADI","ADI","ADI","ADI","ADI","ADI","ADI","ADI","ADI","ADI","ADI","ADI","ADI","ADI","ADI","ADI","ADI","CMCSA","CMCSA","CMCSA","CMCSA","CMCSA","CMCSA","CMCSA","CMCSA","CMCSA","CMCSA","ADI","CMCSA","CMCSA","CMCSA","CMCSA","CMCSA","ADI","CMCSA","CMCSA","CMCSA","CMCSA","CMCSA","CMCSA","CMCSA","CMCSA","CMCSA","CMCSA","CMCSA","CMCSA","CMCSA","CMCSA","CMCSA","CMCSA","CMCSA","CMCSA","ADI","CMCSA","CMCSA","CMCSA","CMCSA","CMCSA","CMCSA","CMCSA","CMCSA"
"ADP","ADP","ADP","ADP","ADP","ADP","ADP","ADP","ADP","ADP","ADP","ADP","ADP","ADP","ADP","ADP","ADP","ADP","ADP","ADP","ADP","ADP","ADP","ADP","INTC","INTC","INTC","INTC","INTC","INTC","INTC","INTC","INTC","INTC","ADP","INTC","INTC","INTC","INTC","INTC","ADP","INTC","INTC","INTC","INTC","INTC","INTC","INTC","INTC","INTC","INTC","INTC","INTC","INTC","INTC","INTC","INTC","INTC","INTC","ADP","INTC","INTC","INTC","INTC","INTC","INTC","INTC","INTC"
"ADSK","ADSK","ADSK","ADSK","ADSK","ADSK","ADSK","ADSK","ADSK","ADSK","ADSK","ADSK","ADSK","ADSK","ADSK","ADSK","ADSK","ADSK","ADSK","ADSK","ADSK","ADSK","ADSK","ADSK","KLAC","KLAC","KLAC","KLAC","KLAC","KLAC","KLAC","KLAC","KLAC","KLAC","ADSK","KLAC","KLAC","KLAC","KLAC","KLAC","ADSK","KLAC","KLAC","KLAC","KLAC","KLAC","KLAC","KLAC","KLAC","KLAC","KLAC","KLAC","KLAC","KLAC","KLAC","KLAC","KLAC","KLAC","KLAC","ADSK","KLAC","KLAC","KLAC","KLAC","KLAC","KLAC","KLAC","KLAC"
"AEP","AEP","AEP","AEP","AEP","AEP","AEP","AEP","AEP","AEP","AEP","AEP","AEP","AEP","AEP","AEP","AEP","AEP","AEP","AEP","AEP","AEP","AEP","AEP","PCAR","PCAR","PCAR","PCAR","PCAR","PCAR","PCAR","PCAR","PCAR","PCAR","AEP","PCAR","PCAR","PCAR","PCAR","PCAR","AEP","PCAR","PCAR","PCAR","PCAR","PCAR","PCAR","PCAR","PCAR","PCAR","PCAR","PCAR","PCAR","PCAR","PCAR","PCAR","PCAR","PCAR","PCAR","AEP","PCAR","PCAR","PCAR","PCAR","PCAR","PCAR","PCAR","PCAR"
"AMAT","AMAT","AMAT","AMAT","AMAT","AMAT","AMAT","AMAT","AMAT","AMAT","AMAT","AMAT","AMAT","AMAT","AMAT","AMAT","AMAT","AMAT","AMAT","AMAT","AMAT","AMAT","AMAT","AMAT","CTAS","CTAS","CTAS","CTAS","CTAS","CTAS","CTAS","CTAS","CTAS","CTAS","AMAT","CTAS","CTAS","CTAS","CTAS","CTAS","AMAT","CTAS","CTAS","CTAS","CTAS","CTAS","CTAS","CTAS","CTAS","CTAS","CTAS","CTAS","CTAS","CTAS","CTAS","CTAS","CTAS","CTAS","CTAS","AMAT","CTAS","CTAS","CTAS","CTAS","CTAS","CTAS","CTAS","CTAS"
"AMD","AMD","AMD","AMD","AMD","AMD","AMD","AMD","AMD","AMD","AMD","AMD","AMD","AMD","AMD","AMD","AMD","AMD","AMD","AMD","AMD","AMD","AMD","AMD","PAYX","PAYX","PAYX","PAYX","PAYX","PAYX","PAYX","PAYX","PAYX","PAYX","AMD","PAYX","PAYX","PAYX","PAYX","PAYX","AMD","PAYX","PAYX","PAYX","PAYX","PAYX","PAYX","PAYX","PAYX","PAYX","PAYX","PAYX","PAYX","PAYX","PAYX","PAYX","PAYX","PAYX","PAYX","AMD","PAYX","PAYX","PAYX","PAYX","PAYX","PAYX","PAYX","PAYX"
"AMGN","AMGN","AMGN","AMGN","AMGN","AMGN","AMGN","AMGN","AMGN","AMGN","AMGN","AMGN","AMGN","AMGN","AMGN","AMGN","AMGN","AMGN","AMGN","AMGN","AMGN","AMGN","AMGN","AMGN","LRCX","LRCX","LRCX","LRCX","LRCX","LRCX","LRCX","LRCX","LRCX","LRCX","AMGN","LRCX","LRCX","LRCX","LRCX","LRCX","AMGN","LRCX","LRCX","LRCX","LRCX","LRCX","LRCX","LRCX","LRCX","LRCX","LRCX","LRCX","LRCX","LRCX","LRCX","LRCX","LRCX","LRCX","LRCX","AMGN","LRCX","LRCX","LRCX","LRCX","LRCX","LRCX","LRCX","LRCX"
"AMZN","AMZN","AMZN","AMZN","AMZN","AMZN","AMZN","AMZN","AMZN","AMZN","AMZN","AMZN","AMZN","AMZN","AMZN","AMZN","AMZN","AMZN","AMZN","AMZN","AMZN","AMZN","AMZN","AMZN","ADSK","ADSK","ADSK","ADSK","ADSK","ADSK","ADSK","ADSK","ADSK","ADSK","AMZN","ADSK","ADSK","ADSK","ADSK","ADSK","AMZN","ADSK","ADSK","ADSK","ADSK","ADSK","ADSK","ADSK","ADSK","ADSK","ADSK","ADSK","ADSK","ADSK","ADSK","ADSK","ADSK","ADSK","ADSK","AMZN","ADSK","ADSK","ADSK","ADSK","ADSK","ADSK","ADSK","ADSK"
"ANSS","ANSS","ANSS","ANSS","ANSS","ANSS","ANSS","ANSS","ANSS","ANSS","ANSS","ANSS","ANSS","ANSS","ANSS","ANSS","ANSS","ANSS","ANSS","ANSS","ANSS","ANSS","ANSS","ANSS","ROST","ROST","ROST","ROST","ROST","ROST","ROST","ROST","ROST","ROST","ANSS","ROST","ROST","ROST","ROST","ROST","ANSS","ROST","ROST","ROST","ROST","ROST","ROST","ROST","ROST","ROST","ROST","ROST","ROST","ROST","ROST","ROST","ROST","ROST","ROST","ANSS","ROST","ROST","ROST","ROST","ROST","ROST","ROST","ROST"
"APP","APP","APP","APP","APP","APP","APP","APP","APP","APP","APP","APP","APP","APP","APP","APP","APP","APP","APP","APP","APP","APP","APP","APP","MNST","MNST","MNST","MNST","MNST","MNST","MNST","MNST","MNST","MNST","APP","MNST","MNST","MNST","MNST","MNST","APP","MNST","MNST","MNST","MNST","MNST","MNST","MNST","MNST","MNST","MNST","MNST","MNST","MNST","MNST","MNST","MNST","MNST","MNST","APP","MNST","MNST","MNST","MNST","MNST","MNST","MNST","MNST"
"ARM","ARM","ARM","ARM","ARM","ARM","ARM","ARM","ARM","ARM","ARM","ARM","ARM","ARM","ARM","ARM","ARM","ARM","ARM","ARM","ARM","ARM","ARM","ARM","MSFT","MSFT","MSFT","MSFT","MSFT","MSFT","MSFT","MSFT","MSFT","MSFT","ARM","MSFT","MSFT","MSFT","MSFT","MSFT","ARM","MSFT","MSFT","MSFT","MSFT","MSFT","MSFT","MSFT","MSFT","MSFT","MSFT","MSFT","MSFT","MSFT","MSFT","MSFT","MSFT","MSFT","MSFT","ARM","MSFT","MSFT","MSFT","MSFT","MSFT","MSFT","MSFT","MSFT"
"ASML","ASML","ASML","ASML","ASML","ASML","ASML","ASML","ASML","ASML","ASML","ASML","ASML","ASML","ASML","ASML","ASML","ASML","ASML","ASML","ASML","ASML","ASML","ASML","ADBE","ADBE","ADBE","ADBE","ADBE","ADBE","ADBE","ADBE","ADBE","ADBE","ASML","ADBE","ADBE","ADBE","ADBE","ADBE","ASML","ADBE","ADBE","ADBE","ADBE","ADBE","ADBE","ADBE","ADBE","ADBE","ADBE","ADBE","ADBE","ADBE","ADBE","ADBE","ADBE","ADBE","ADBE","ASML","ADBE","ADBE","ADBE","ADBE","ADBE","ADBE","ADBE","ADBE"
"AVGO","AVGO","AVGO","AVGO","AVGO","AVGO","AVGO","AVGO","AVGO","AVGO","AVGO","AVGO","AVGO","AVGO","AVGO","AVGO","AVGO","AVGO","AVGO","AVGO","AVGO","AVGO","AVGO","AVGO","FAST","FAST","FAST","FAST","FAST","FAST","FAST","FAST","FAST","FAST","AVGO","FAST","FAST","FAST","FAST","FAST","AVGO","FAST","FAST","FAST","FAST","FAST","FAST","FAST","FAST","FAST","FAST","FAST","FAST","FAST","FAST","FAST","FAST","FAST","FAST","AVGO","FAST","FAST","FAST","FAST","FAST","FAST","FAST","FAST"
"AZN","AZN","AZN","AZN","AZN","AZN","AZN","AZN","AZN","AZN","AZN","AZN","AZN","AZN","AZN","AZN","AZN","AZN","AZN","AZN","AZN","AZN","AZN","AZN","EA","EA","EA","EA","EA","EA","EA","EA","EA","EA","AXON","EA","EA","EA","EA","EA","AXON","EA","EA","EA","EA","EA","EA","EA","EA","EA","EA","EA","EA","EA","EA","EA","EA","EA","EA","AXON","EA","EA","EA","EA","EA","EA","EA","EA"
"BIIB","BIIB","BIIB","BIIB","BIIB","BIIB","BIIB","BIIB","BIIB","BIIB","BIIB","BIIB","BIIB","BIIB","BIIB","BIIB","BIIB","BIIB","BIIB","BIIB","BIIB","BIIB","BIIB","BIIB","CSCO","CSCO","CSCO","CSCO","CSCO","CSCO","CSCO","CSCO","CSCO","CSCO","AZN","CSCO","CSCO","CSCO","CSCO","CSCO","AZN","CSCO","CSCO","CSCO","CSCO","CSCO","CSCO","CSCO","CSCO","CSCO","CSCO","CSCO","CSCO","CSCO","CSCO","CSCO","CSCO","CSCO","CSCO","AZN","CSCO","CSCO","CSCO","CSCO","CSCO","CSCO","CSCO","CSCO"
"BKNG","BKNG","BKNG","BKNG","BKNG","BKNG","BKNG","BKNG","BKNG","BKNG","BKNG","BKNG","BKNG","BKNG","BKNG","BKNG","BKNG","BKNG","BKNG","BKNG","BKNG","BKNG","BKNG","BKNG","REGN","REGN","REGN","REGN","REGN","REGN","REGN","REGN","REGN","REGN","BIIB","REGN","REGN","REGN","REGN","REGN","BIIB","REGN","REGN","REGN","REGN","REGN","REGN","REGN","REGN","REGN","REGN","REGN","REGN","REGN","REGN","REGN","REGN","REGN","REGN","BIIB","REGN","REGN","REGN","REGN","REGN","REGN","REGN","REGN"
"BKR","BKR","BKR","BKR","BKR","BKR","BKR","BKR","BKR","BKR","BKR","BKR","BKR","BKR","BKR","BKR","BKR","BKR","BKR","BKR","BKR","BKR","BKR","BKR","IDXX","IDXX","IDXX","IDXX","IDXX","IDXX","IDXX","IDXX","IDXX","IDXX","BKNG","IDXX","IDXX","IDXX","IDXX","IDXX","BKNG","IDXX","IDXX","IDXX","IDXX","IDXX","IDXX","IDXX","IDXX","IDXX","IDXX","IDXX","IDXX","IDXX","IDXX","IDXX","IDXX","IDXX","IDXX","BKNG","IDXX","IDXX","IDXX","IDXX","IDXX","IDXX","IDXX","IDXX"
"CCEP","CCEP","CCEP","CCEP","CCEP","CCEP","CCEP","CCEP","CCEP","CCEP","CCEP","CCEP","CCEP","CCEP","CCEP","CCEP","CCEP","CCEP","CCEP","CCEP","CCEP","CCEP","CCEP","CCEP","VRTX","VRTX","VRTX","VRTX","VRTX","VRTX","VRTX","VRTX","VRTX","VRTX","BKR","VRTX","VRTX","VRTX","VRTX","VRTX","BKR","VRTX","VRTX","VRTX","VRTX","VRTX","VRTX","VRTX","VRTX","VRTX","VRTX","VRTX","VRTX","VRTX","VRTX","VRTX","VRTX","VRTX","VRTX","BKR","VRTX","VRTX","VRTX","VRTX","VRTX","VRTX","VRTX","VRTX"
"CDNS","CDNS","CDNS","CDNS","CDNS","CDNS","CDNS","CDNS","CDNS","CDNS","CDNS","CDNS","CDNS","CDNS","CDNS","CDNS","CDNS","CDNS","CDNS","CDNS","CDNS","CDNS","CDNS","CDNS","BIIB","BIIB","BIIB","BIIB","BIIB","BIIB","BIIB","BIIB","BIIB","BIIB","CCEP","BIIB","BIIB","BIIB","BIIB","BIIB","CCEP","BIIB","BIIB","BIIB","BIIB","BIIB","BIIB","BIIB","BIIB","BIIB","BIIB","BIIB","BIIB","BIIB","BIIB","BIIB","BIIB","BIIB","BIIB","CCEP","BIIB","BIIB","BIIB","BIIB","BIIB","BIIB","BIIB","BIIB"
"CDW","CDW","CDW","CDW","CDW","CDW","CDW","CDW","CDW","CDW","CDW","CDW","CDW","CDW","CDW","CDW","CDW","CDW","CDW","CDW","CDW","CDW","CDW","CDW","ODFL","ODFL","ODFL","ODFL","ODFL","ODFL","ODFL","ODFL","ODFL","ODFL","CDNS","ODFL","ODFL","ODFL","ODFL","ODFL","CDNS","ODFL","ODFL","ODFL","ODFL","ODFL","ODFL","ODFL","ODFL","ODFL","ODFL","ODFL","ODFL","ODFL","ODFL","ODFL","ODFL","ODFL","ODFL","CDNS","ODFL","ODFL","ODFL","ODFL","ODFL","ODFL","ODFL","ODFL"
"CEG","CEG","CEG","CEG","CEG","CEG","CEG","CEG","CEG","CEG","CEG","CEG","CEG","CEG","CEG","CEG","CEG","CEG","CEG","CEG","CEG","CEG","CEG","CEG","QCOM","QCOM","QCOM","QCOM","QCOM","QCOM","QCOM","QCOM","QCOM","QCOM","CDW","QCOM","QCOM","QCOM","QCOM","QCOM","CDW","QCOM","QCOM","QCOM","QCOM","QCOM","QCOM","QCOM","QCOM","QCOM","QCOM","QCOM","QCOM","QCOM","QCOM","QCOM","QCOM","QCOM","QCOM","CDW","QCOM","QCOM","QCOM","QCOM","QCOM","QCOM","QCOM","QCOM"
"CHTR","CHTR","CHTR","CHTR","CHTR","CHTR","CHTR","CHTR","CHTR","CHTR","CHTR","CHTR","CHTR","CHTR","CHTR","CHTR","CHTR","CHTR","CHTR","CHTR","CHTR","CHTR","CHTR","CHTR","GILD","GILD","GILD","GILD","GILD","GILD","GILD","GILD","GILD","GILD","CEG","GILD","GILD","GILD","GILD","GILD","CEG","GILD","GILD","GILD","GILD","GILD","GILD","GILD","GILD","GILD","GILD","GILD","GILD","GILD","GILD","GILD","GILD","GILD","GILD","CEG","GILD","GILD","GILD","GILD","GILD","GILD","GILD","GILD"
"CMCSA","CMCSA","CMCSA","CMCSA","CMCSA","CMCSA","CMCSA","CMCSA","CMCSA","CMCSA","CMCSA","CMCSA","CMCSA","CMCSA","CMCSA","CMCSA","CMCSA","CMCSA","CMCSA","CMCSA","CMCSA","CMCSA","CMCSA","CMCSA","SNPS","SNPS","SNPS","SNPS","SNPS","SNPS","SNPS","SNPS","SNPS","SNPS","CHTR","SNPS","SNPS","SNPS","SNPS","SNPS","CHTR","SNPS","SNPS","SNPS","SNPS","SNPS","SNPS","SNPS","SNPS","SNPS","SNPS","SNPS","SNPS","SNPS","SNPS","SNPS","SNPS","SNPS","SNPS","CHTR","SNPS","SNPS","SNPS","SNPS","SNPS","SNPS","SNPS","SNPS"
"COST","COST","COST","COST","COST","COST","COST","COST","COST","COST","COST","COST","COST","COST","COST","COST","COST","COST","COST","COST","COST","COST","COST","COST","SBUX","SBUX","SBUX","SBUX","SBUX","SBUX","SBUX","SBUX","SBUX","SBUX","CMCSA","SBUX","SBUX","SBUX","SBUX","SBUX","CMCSA","SBUX","SBUX","SBUX","SBUX","SBUX","SBUX","SBUX","SBUX","SBUX","SBUX","SBUX","SBUX","SBUX","SBUX","SBUX","SBUX","SBUX","SBUX","CMCSA","SBUX","SBUX","SBUX","SBUX","SBUX","SBUX","SBUX","SBUX"
"CPRT","CPRT","CPRT","CPRT","CPRT","CPRT","CPRT","CPRT","CPRT","CPRT","CPRT","CPRT","CPRT","CPRT","CPRT","CPRT","CPRT","CPRT","CPRT","CPRT","CPRT","CPRT","CPRT","CPRT","INTU","INTU","INTU","INTU","INTU","INTU","INTU","INTU","INTU","INTU","COST","INTU","INTU","INTU","INTU","INTU","COST","INTU","INTU","INTU","INTU","INTU","INTU","INTU","INTU","INTU","INTU","INTU","INTU","INTU","INTU","INTU","INTU","INTU","INTU","COST","INTU","INTU","INTU","INTU","INTU","INTU","INTU","INTU"
"CRWD","CRWD","CRWD","CRWD","CRWD","CRWD","CRWD","CRWD","CRWD","CRWD","CRWD","CRWD","CRWD","CRWD","CRWD","CRWD","CRWD","CRWD","CRWD","CRWD","CRWD","CRWD","CRWD","CRWD","MCHP","MCHP","MCHP","MCHP","MCHP","MCHP","MCHP","MCHP","MCHP","MCHP","CPRT","MCHP","MCHP","MCHP","MCHP","MCHP","CPRT","MCHP","MCHP","MCHP","MCHP","MCHP","MCHP","MCHP","MCHP","MCHP","MCHP","MCHP","MCHP","MCHP","MCHP","MCHP","MCHP","MCHP","MCHP","CPRT","MCHP","MCHP","MCHP","MCHP","MCHP","MCHP","MCHP","MCHP"
"CSCO","CSCO","CSCO","CSCO","CSCO","CSCO","CSCO","CSCO","CSCO","CSCO","CSCO","CSCO","CSCO","CSCO","CSCO","CSCO","CSCO","CSCO","CSCO","CSCO","CSCO","CSCO","CSCO","CSCO","ORLY","ORLY","ORLY","ORLY","ORLY","ORLY","ORLY","ORLY","ORLY","ORLY","CRWD","ORLY","ORLY","ORLY","ORLY","ORLY","CRWD","ORLY","ORLY","ORLY","ORLY","ORLY","ORLY","ORLY","ORLY","ORLY","ORLY","ORLY","ORLY","ORLY","ORLY","ORLY","ORLY","ORLY","ORLY","CRWD","ORLY","ORLY","ORLY","ORLY","ORLY","ORLY","ORLY","ORLY"
"CSGP","CSGP","CSGP","CSGP","CSGP","CSGP","CSGP","CSGP","CSGP","CSGP","CSGP","CSGP","CSGP","CSGP","CSGP","CSGP","CSGP","CSGP","CSGP","CSGP","CSGP","CSGP","CSGP","CSGP","COST","COST","COST","COST","COST","COST","COST","COST","COST","COST","CSCO","COST","COST","COST","COST","COST","CSCO","COST","COST","COST","COST","COST","COST","COST","COST","COST","COST","COST","COST","COST","COST","COST","COST","COST","COST","CSCO","COST","COST","COST","COST","COST","COST","COST","COST"
"CSX","CSX","CSX","CSX","CSX","CSX","CSX","CSX","CSX","CSX","CSX","CSX","CSX","CSX","CSX","CSX","CSX","CSX","CSX","CSX","CSX","CSX","CSX","CSX","CPRT","CPRT","CPRT","CPRT","CPRT","CPRT","CPRT","CPRT","CPRT","CPRT","CSGP","CPRT","CPRT","CPRT","CPRT","CPRT","CSGP","CPRT","CPRT","CPRT","CPRT","CPRT","CPRT","CPRT","CPRT","CPRT","CPRT","CPRT","CPRT","CPRT","CPRT","CPRT","CPRT","CPRT","CPRT","CSGP","CPRT","CPRT","CPRT","CPRT","CPRT","CPRT","CPRT","CPRT"
"CTAS","CTAS","CTAS","CTAS","CTAS","CTAS","CTAS","CTAS","CTAS","CTAS","CTAS","CTAS","CTAS","CTAS","CTAS","CTAS","CTAS","CTAS","CTAS","CTAS","CTAS","CTAS","CTAS","CTAS","ASML","ASML","ASML","ASML","ASML","ASML","ASML","ASML","ASML","ASML","CSX","ASML","ASML","ASML","ASML","ASML","CSX","ASML","ASML","ASML","ASML","ASML","ASML","ASML","ASML","ASML","ASML","ASML","ASML","ASML","ASML","ASML","ASML","ASML","ASML","CSX","ASML","ASML","ASML","ASML","ASML","ASML","ASML","ASML"
"CTSH","CTSH","CTSH","CTSH","CTSH","CTSH","CTSH","CTSH","CTSH","CTSH","CTSH","CTSH","CTSH","CTSH","CTSH","CTSH","CTSH","CTSH","CTSH","CTSH","CTSH","CTSH","CTSH","CTSH","ANSS","ANSS","ANSS","ANSS","ANSS","ANSS","ANSS","ANSS","ANSS","ANSS","CTAS","ANSS","ANSS","ANSS","ANSS","ANSS","CTAS","ANSS","ANSS","ANSS","ANSS","ANSS","ANSS","ANSS","ANSS","ANSS","ANSS","ANSS","ANSS","ANSS","ANSS","ANSS","ANSS","ANSS","ANSS","CTAS","ANSS","ANSS","ANSS","ANSS","ANSS","ANSS","ANSS","ANSS"
"DASH","DASH","DASH","DASH","DASH","DASH","DASH","DASH","DASH","DASH","DASH","DASH","DASH","DASH","DASH","DASH","DASH","DASH","DASH","DASH","DASH","DASH","DASH","DASH","TTWO","TTWO","TTWO","TTWO","TTWO","TTWO","TTWO","TTWO","TTWO","TTWO","CTSH","TTWO","TTWO","TTWO","TTWO","TTWO","CTSH","TTWO","TTWO","TTWO","TTWO","TTWO","TTWO","TTWO","TTWO","TTWO","TTWO","TTWO","TTWO","TTWO","TTWO","TTWO","TTWO","TTWO","TTWO","CTSH","TTWO","TTWO","TTWO","TTWO","TTWO","TTWO","TTWO","TTWO"
"DDOG","DDOG","DDOG","DDOG","DDOG","DDOG","DDOG","DDOG","DDOG","DDOG","DDOG","DDOG","DDOG","DDOG","DDOG","DDOG","DDOG","DDOG","DDOG","DDOG","DDOG","DDOG","DDOG","DDOG","AMZN","AMZN","AMZN","AMZN","AMZN","AMZN","AMZN","AMZN","AMZN","AMZN","DASH","AMZN","AMZN","AMZN","AMZN","AMZN","DASH","AMZN","AMZN","AMZN","AMZN","AMZN","AMZN","AMZN","AMZN","AMZN","AMZN","AMZN","AMZN","AMZN","AMZN","AMZN","AMZN","AMZN","AMZN","DASH","AMZN","AMZN","AMZN","AMZN","AMZN","AMZN","AMZN","AMZN"
"DXCM","DXCM","DXCM","DXCM","DXCM","DXCM","DXCM","DXCM","DXCM","DXCM","DXCM","DXCM","DXCM","DXCM","DXCM","DXCM","DXCM","DXCM","DXCM","DXCM","DXCM","DXCM","DXCM","DXCM","MSTR","MSTR","MSTR","MSTR","MSTR","MSTR","MSTR","MSTR","MSTR","MSTR","DDOG","MSTR","MSTR","MSTR","MSTR","MSTR","DDOG","MSTR","MSTR","MSTR","MSTR","MSTR","MSTR","MSTR","MSTR","MSTR","MSTR","MSTR","MSTR","MSTR","MSTR","MSTR","MSTR","MSTR","MSTR","DDOG","MSTR","MSTR","MSTR","MSTR","MSTR","MSTR","MSTR","MSTR"
"EA","EA","EA","EA","EA","EA","EA","EA","EA","EA","EA","EA","EA","EA","EA","EA","EA","EA","EA","EA","EA","EA","EA","EA","CTSH","CTSH","CTSH","CTSH","CTSH","CTSH","CTSH","CTSH","CTSH","CTSH","DXCM","CTSH","CTSH","CTSH","CTSH","CTSH","DXCM","CTSH","CTSH","CTSH","CTSH","CTSH","CTSH","CTSH","CTSH","CTSH","CTSH","CTSH","CTSH","CTSH","CTSH","CTSH","CTSH","CTSH","CTSH","DXCM","CTSH","CTSH","CTSH","CTSH","CTSH","CTSH","CTSH","CTSH"
