"2024-11-21","2024-11-22","2024-11-25","2024-11-26","2024-11-28","2024-11-29","2024-12-02","2024-12-03","2024-12-04","2024-12-05","2024-12-06","2024-12-09","2024-12-10","2024-12-11","2024-12-12","2024-12-13","2024-12-16","2024-12-17","2024-12-18","2024-12-19","2024-12-20","2024-12-23","2024-12-24","2024-12-25","2024-12-26","2024-12-27","2024-12-30","2024-12-31","2025-01-02","2025-01-03","2025-01-06","2025-01-07","2025-01-08","2025-01-09","2025-01-12","2025-01-13","2025-01-14","2025-01-15","2025-01-16","2025-01-17","2025-01-20","2025-01-21","2025-01-22","2025-01-23","2025-01-27","2025-01-28","2025-01-29","2025-01-30","2025-01-31","2025-02-03","2025-02-04","2025-02-05","2025-02-06","2025-02-07","2025-02-10","2025-02-11","2025-02-12","2025-02-13","2025-02-14","2025-02-17","2025-02-18","2025-02-19","2025-02-20","2025-02-21","2025-02-24","2025-02-25","2025-02-27","2025-02-28"
"META","META","META","META","META","META","META","META","META","META","META","META","META","META","META","META","META","META","META","META","META","META","META","META","TMUS","TMUS","TMUS","TMUS","TMUS","TMUS","TMUS","TMUS","TMUS","TMUS","META","TMUS","TMUS","TMUS","TMUS","TMUS","META","TMUS","TMUS","TMUS","TMUS","TMUS","TMUS","TMUS","TMUS","TMUS","TMUS","TMUS","TMUS","TMUS","TMUS","TMUS","TMUS","TMUS","TMUS","META","TMUS","TMUS","TMUS","TMUS","TMUS","TMUS","TMUS","TMUS"
"MNST","MNST","MNST","MNST","MNST","MNST","MNST","MNST","MNST","MNST","MNST","MNST","MNST","MNST","MNST","MNST","MNST","MNST","MNST","MNST","MNST","MNST","MNST","MNST","LULU","LULU","LULU","LULU","LULU","LULU","LULU","LULU","LULU","LULU","MNST","LULU","LULU","LULU","LULU","LULU","MNST","LULU","LULU","LULU","LULU","LULU","LULU","LULU","LULU","LULU","LULU","LULU","LULU","LULU","LULU","LULU","LULU","LULU","LULU","MNST","LULU","LULU","LULU","LULU","LULU","LULU","LULU","LULU"
"MRNA","MRNA","MRNA","MRNA","MRNA","MRNA","MRNA","MRNA","MRNA","MRNA","MRNA","MRNA","MRNA","MRNA","MRNA","MRNA","MRNA","MRNA","MRNA","MRNA","MRNA","MSTR","MSTR","MSTR","MELI","MELI","MELI","MELI","MELI","MELI","MELI","MELI","MELI","MELI","MRVL","MELI","MELI","MELI","MELI","MELI","MRVL","MELI","MELI","MELI","MELI","MELI","MELI","MELI","MELI","MELI","MELI","MELI","MELI","MELI","MELI","MELI","MELI","MELI","MELI","MRVL","MELI","MELI","MELI","MELI","MELI","MELI","MELI","MELI"
"MRVL","MRVL","MRVL","MRVL","MRVL","MRVL","MRVL","MRVL","MRVL","MRVL","MRVL","MRVL","MRVL","MRVL","MRVL","MRVL","MRVL","MRVL","MRVL","MRVL","MRVL","MRVL","MRVL","MRVL","KDP","KDP","KDP","KDP","KDP","KDP","KDP","KDP","KDP","KDP","MSFT","KDP","KDP","KDP","KDP","KDP","MSFT","KDP","KDP","KDP","KDP","KDP","KDP","KDP","KDP","KDP","KDP","KDP","KDP","KDP","KDP","KDP","KDP","KDP","KDP","MSFT","KDP","KDP","KDP","KDP","KDP","KDP","KDP","KDP"
"MSFT","MSFT","MSFT","MSFT","MSFT","MSFT","MSFT","MSFT","MSFT","MSFT","MSFT","MSFT","MSFT","MSFT","MSFT","MSFT","MSFT","MSFT","MSFT","MSFT","MSFT","MSFT","MSFT","MSFT","AVGO","AVGO","AVGO","AVGO","AVGO","AVGO","AVGO","AVGO","AVGO","AVGO","MSTR","AVGO","AVGO","AVGO","AVGO","AVGO","MSTR","AVGO","AVGO","AVGO","AVGO","AVGO","AVGO","AVGO","AVGO","AVGO","AVGO","AVGO","AVGO","AVGO","AVGO","AVGO","AVGO","AVGO","AVGO","MSTR","AVGO","AVGO","AVGO","AVGO","AVGO","AVGO","AVGO","AVGO"
"MU","MU","MU","MU","MU","MU","MU","MU","MU","MU","MU","MU","MU","MU","MU","MU","MU","MU","MU","MU","MU","MU","MU","MU","VRSK","VRSK","VRSK","VRSK","VRSK","VRSK","VRSK","VRSK","VRSK","VRSK","MU","VRSK","VRSK","VRSK","VRSK","VRSK","MU","VRSK","VRSK","VRSK","VRSK","VRSK","VRSK","VRSK","VRSK","VRSK","VRSK","VRSK","VRSK","VRSK","VRSK","VRSK","VRSK","VRSK","VRSK","MU","VRSK","VRSK","VRSK","VRSK","VRSK","VRSK","VRSK","VRSK"
"NFLX","NFLX","NFLX","NFLX","NFLX","NFLX","NFLX","NFLX","NFLX","NFLX","NFLX","NFLX","NFLX","NFLX","NFLX","NFLX","NFLX","NFLX","NFLX","NFLX","NFLX","NFLX","NFLX","NFLX","FTNT","FTNT","FTNT","FTNT","FTNT","FTNT","FTNT","FTNT","FTNT","FTNT","NFLX","FTNT","FTNT","FTNT","FTNT","FTNT","NFLX","FTNT","FTNT","FTNT","FTNT","FTNT","FTNT","FTNT","FTNT","FTNT","FTNT","FTNT","FTNT","FTNT","FTNT","FTNT","FTNT","FTNT","FTNT","NFLX","FTNT","FTNT","FTNT","FTNT","FTNT","FTNT","FTNT","FTNT"
"NVDA","NVDA","NVDA","NVDA","NVDA","NVDA","NVDA","NVDA","NVDA","NVDA","NVDA","NVDA","NVDA","NVDA","NVDA","NVDA","NVDA","NVDA","NVDA","NVDA","NVDA","NVDA","NVDA","NVDA","CHTR","CHTR","CHTR","CHTR","CHTR","CHTR","CHTR","CHTR","CHTR","CHTR","NVDA","CHTR","CHTR","CHTR","CHTR","CHTR","NVDA","CHTR","CHTR","CHTR","CHTR","CHTR","CHTR","CHTR","CHTR","CHTR","CHTR","CHTR","CHTR","CHTR","CHTR","CHTR","CHTR","CHTR","CHTR","NVDA","CHTR","CHTR","CHTR","CHTR","CHTR","CHTR","CHTR","CHTR"
"NXPI","NXPI","NXPI","NXPI","NXPI","NXPI","NXPI","NXPI","NXPI","NXPI","NXPI","NXPI","NXPI","NXPI","NXPI","NXPI","NXPI","NXPI","NXPI","NXPI","NXPI","NXPI","NXPI","NXPI","TSLA","TSLA","TSLA","TSLA","TSLA","TSLA","TSLA","TSLA","TSLA","TSLA","NXPI","TSLA","TSLA","TSLA","TSLA","TSLA","NXPI","TSLA","TSLA","TSLA","TSLA","TSLA","TSLA","TSLA","TSLA","TSLA","TSLA","TSLA","TSLA","TSLA","TSLA","TSLA","TSLA","TSLA","TSLA","NXPI","TSLA","TSLA","TSLA","TSLA","TSLA","TSLA","TSLA","TSLA"
"ODFL","ODFL","ODFL","ODFL","ODFL","ODFL","ODFL","ODFL","ODFL","ODFL","ODFL","ODFL","ODFL","ODFL","ODFL","ODFL","ODFL","ODFL","ODFL","ODFL","ODFL","ODFL","ODFL","ODFL","NXPI","NXPI","NXPI","NXPI","NXPI","NXPI","NXPI","NXPI","NXPI","NXPI","ODFL","NXPI","NXPI","NXPI","NXPI","NXPI","ODFL","NXPI","NXPI","NXPI","NXPI","NXPI","NXPI","NXPI","NXPI","NXPI","NXPI","NXPI","NXPI","NXPI","NXPI","NXPI","NXPI","NXPI","NXPI","ODFL","NXPI","NXPI","NXPI","NXPI","NXPI","NXPI","NXPI","NXPI"
"ON","ON","ON","ON","ON","ON","ON","ON","ON","ON","ON","ON","ON","ON","ON","ON","ON","ON","ON","ON","ON","ON","ON","ON","FANG","FANG","FANG","FANG","FANG","FANG","FANG","FANG","FANG","FANG","ON","FANG","FANG","FANG","FANG","FANG","ON","FANG","FANG","FANG","FANG","FANG","FANG","FANG","FANG","FANG","FANG","FANG","FANG","FANG","FANG","FANG","FANG","FANG","FANG","ON","FANG","FANG","FANG","FANG","FANG","FANG","FANG","FANG"
"ORLY","ORLY","ORLY","ORLY","ORLY","ORLY","ORLY","ORLY","ORLY","ORLY","ORLY","ORLY","ORLY","ORLY","ORLY","ORLY","ORLY","ORLY","ORLY","ORLY","ORLY","ORLY","ORLY","ORLY","META","META","META","META","META","META","META","META","META","META","ORLY","META","META","META","META","META","ORLY","META","META","META","META","META","META","META","META","META","META","META","META","META","META","META","META","META","META","ORLY","META","META","META","META","META","META","META","META"
"PANW","PANW","PANW","PANW","PANW","PANW","PANW","PANW","PANW","PANW","PANW","PANW","PANW","PANW","PANW","PANW","PANW","PANW","PANW","PANW","PANW","PANW","PANW","PANW","PANW","PANW","PANW","PANW","PANW","PANW","PANW","PANW","PANW","PANW","PANW","PANW","PANW","PANW","PANW","PANW","PANW","PANW","PANW","PANW","PANW","PANW","PANW","PANW","PANW","PANW","PANW","PANW","PANW","PANW","PANW","PANW","PANW","PANW","PANW","PANW","PANW","PANW","PANW","PANW","PANW","PANW","PANW","PANW"
"PAYX","PAYX","PAYX","PAYX","PAYX","PAYX","PAYX","PAYX","PAYX","PAYX","PAYX","PAYX","PAYX","PAYX","PAYX","PAYX","PAYX","PAYX","PAYX","PAYX","PAYX","PAYX","PAYX","PAYX","WDAY","WDAY","WDAY","WDAY","WDAY","WDAY","WDAY","WDAY","WDAY","WDAY","PAYX","WDAY","WDAY","WDAY","WDAY","WDAY","PAYX","WDAY","WDAY","WDAY","WDAY","WDAY","WDAY","WDAY","WDAY","WDAY","WDAY","WDAY","WDAY","WDAY","WDAY","WDAY","WDAY","WDAY","WDAY","PAYX","WDAY","WDAY","WDAY","WDAY","WDAY","WDAY","WDAY","WDAY"
"PCAR","PCAR","PCAR","PCAR","PCAR","PCAR","PCAR","PCAR","PCAR","PCAR","PCAR","PCAR","PCAR","PCAR","PCAR","PCAR","PCAR","PCAR","PCAR","PCAR","PCAR","PCAR","PCAR","PCAR","CDW","CDW","CDW","CDW","CDW","CDW","CDW","CDW","CDW","CDW","PCAR","CDW","CDW","CDW","CDW","CDW","PCAR","CDW","CDW","CDW","CDW","CDW","CDW","CDW","CDW","CDW","CDW","CDW","CDW","CDW","CDW","CDW","CDW","CDW","CDW","PCAR","CDW","CDW","CDW","CDW","CDW","CDW","CDW","CDW"
